canonicalPrintingId,language,region,canonicalSetId,providerSetIds,collectorNumber,setTotal,providerCardIds,evidenceUsed,exactnessJustification,conflictFlags,auditClassification
pokemon|en|GLOBAL|set:61617aaa87a11426|98|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:me04,"{""tcgdex"": ""me04""}",098,86,"{""tcgdex"": ""me04-098""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""me04-098"", ""providerSetId"": ""me04"", ""serieId"": ""me"", ""serieName"": ""Mega Evolution"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:61617aaa87a11426|97|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:me04,"{""tcgdex"": ""me04""}",097,86,"{""tcgdex"": ""me04-097""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""me04-097"", ""providerSetId"": ""me04"", ""serieId"": ""me"", ""serieName"": ""Mega Evolution"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:61617aaa87a11426|96|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:me04,"{""tcgdex"": ""me04""}",096,86,"{""tcgdex"": ""me04-096""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""me04-096"", ""providerSetId"": ""me04"", ""serieId"": ""me"", ""serieName"": ""Mega Evolution"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:61617aaa87a11426|95|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:me04,"{""tcgdex"": ""me04""}",095,86,"{""tcgdex"": ""me04-095""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""me04-095"", ""providerSetId"": ""me04"", ""serieId"": ""me"", ""serieName"": ""Mega Evolution"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:61617aaa87a11426|94|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:me04,"{""tcgdex"": ""me04""}",094,86,"{""tcgdex"": ""me04-094""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""me04-094"", ""providerSetId"": ""me04"", ""serieId"": ""me"", ""serieName"": ""Mega Evolution"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:61617aaa87a11426|93|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:me04,"{""tcgdex"": ""me04""}",093,86,"{""tcgdex"": ""me04-093""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""me04-093"", ""providerSetId"": ""me04"", ""serieId"": ""me"", ""serieName"": ""Mega Evolution"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:61617aaa87a11426|92|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:me04,"{""tcgdex"": ""me04""}",092,86,"{""tcgdex"": ""me04-092""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""me04-092"", ""providerSetId"": ""me04"", ""serieId"": ""me"", ""serieName"": ""Mega Evolution"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:61617aaa87a11426|91|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:me04,"{""tcgdex"": ""me04""}",091,86,"{""tcgdex"": ""me04-091""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""me04-091"", ""providerSetId"": ""me04"", ""serieId"": ""me"", ""serieName"": ""Mega Evolution"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:61617aaa87a11426|90|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:me04,"{""tcgdex"": ""me04""}",090,86,"{""tcgdex"": ""me04-090""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""me04-090"", ""providerSetId"": ""me04"", ""serieId"": ""me"", ""serieName"": ""Mega Evolution"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:61617aaa87a11426|8|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:me04,"{""tcgdex"": ""me04""}",008,86,"{""tcgdex"": ""me04-008""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""me04-008"", ""providerSetId"": ""me04"", ""serieId"": ""me"", ""serieName"": ""Mega Evolution"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:61617aaa87a11426|89|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:me04,"{""tcgdex"": ""me04""}",089,86,"{""tcgdex"": ""me04-089""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""me04-089"", ""providerSetId"": ""me04"", ""serieId"": ""me"", ""serieName"": ""Mega Evolution"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:61617aaa87a11426|88|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:me04,"{""tcgdex"": ""me04""}",088,86,"{""tcgdex"": ""me04-088""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""me04-088"", ""providerSetId"": ""me04"", ""serieId"": ""me"", ""serieName"": ""Mega Evolution"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:61617aaa87a11426|87|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:me04,"{""tcgdex"": ""me04""}",087,86,"{""tcgdex"": ""me04-087""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""me04-087"", ""providerSetId"": ""me04"", ""serieId"": ""me"", ""serieName"": ""Mega Evolution"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:2aa4b649057f50b9|1|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:svp,"{""tcgdex"": ""svp""}",001,225,"{""tcgdex"": ""svp-001""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""svp-001"", ""providerSetId"": ""svp"", ""serieId"": ""sv"", ""serieName"": ""Scarlet & Violet"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:2aa4b649057f50b9|10|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:svp,"{""tcgdex"": ""svp""}",010,225,"{""tcgdex"": ""svp-010""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""svp-010"", ""providerSetId"": ""svp"", ""serieId"": ""sv"", ""serieName"": ""Scarlet & Violet"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:2aa4b649057f50b9|100|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:svp,"{""tcgdex"": ""svp""}",100,225,"{""tcgdex"": ""svp-100""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""svp-100"", ""providerSetId"": ""svp"", ""serieId"": ""sv"", ""serieName"": ""Scarlet & Violet"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:2aa4b649057f50b9|101|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:svp,"{""tcgdex"": ""svp""}",101,225,"{""tcgdex"": ""svp-101""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""svp-101"", ""providerSetId"": ""svp"", ""serieId"": ""sv"", ""serieName"": ""Scarlet & Violet"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:2aa4b649057f50b9|102|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:svp,"{""tcgdex"": ""svp""}",102,225,"{""tcgdex"": ""svp-102""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""svp-102"", ""providerSetId"": ""svp"", ""serieId"": ""sv"", ""serieName"": ""Scarlet & Violet"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:2aa4b649057f50b9|103|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:svp,"{""tcgdex"": ""svp""}",103,225,"{""tcgdex"": ""svp-103""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""svp-103"", ""providerSetId"": ""svp"", ""serieId"": ""sv"", ""serieName"": ""Scarlet & Violet"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:2aa4b649057f50b9|104|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:svp,"{""tcgdex"": ""svp""}",104,225,"{""tcgdex"": ""svp-104""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""svp-104"", ""providerSetId"": ""svp"", ""serieId"": ""sv"", ""serieName"": ""Scarlet & Violet"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:2aa4b649057f50b9|105|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:svp,"{""tcgdex"": ""svp""}",105,225,"{""tcgdex"": ""svp-105""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""svp-105"", ""providerSetId"": ""svp"", ""serieId"": ""sv"", ""serieName"": ""Scarlet & Violet"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:2aa4b649057f50b9|106|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:svp,"{""tcgdex"": ""svp""}",106,225,"{""tcgdex"": ""svp-106""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""svp-106"", ""providerSetId"": ""svp"", ""serieId"": ""sv"", ""serieName"": ""Scarlet & Violet"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:2aa4b649057f50b9|107|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:svp,"{""tcgdex"": ""svp""}",107,225,"{""tcgdex"": ""svp-107""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""svp-107"", ""providerSetId"": ""svp"", ""serieId"": ""sv"", ""serieName"": ""Scarlet & Violet"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:2aa4b649057f50b9|108|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:svp,"{""tcgdex"": ""svp""}",108,225,"{""tcgdex"": ""svp-108""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""svp-108"", ""providerSetId"": ""svp"", ""serieId"": ""sv"", ""serieName"": ""Scarlet & Violet"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:2aa4b649057f50b9|109|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:svp,"{""tcgdex"": ""svp""}",109,225,"{""tcgdex"": ""svp-109""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""svp-109"", ""providerSetId"": ""svp"", ""serieId"": ""sv"", ""serieName"": ""Scarlet & Violet"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:2aa4b649057f50b9|11|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:svp,"{""tcgdex"": ""svp""}",011,225,"{""tcgdex"": ""svp-011""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""svp-011"", ""providerSetId"": ""svp"", ""serieId"": ""sv"", ""serieName"": ""Scarlet & Violet"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:2aa4b649057f50b9|110|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:svp,"{""tcgdex"": ""svp""}",110,225,"{""tcgdex"": ""svp-110""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""svp-110"", ""providerSetId"": ""svp"", ""serieId"": ""sv"", ""serieName"": ""Scarlet & Violet"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:2aa4b649057f50b9|111|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:svp,"{""tcgdex"": ""svp""}",111,225,"{""tcgdex"": ""svp-111""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""svp-111"", ""providerSetId"": ""svp"", ""serieId"": ""sv"", ""serieName"": ""Scarlet & Violet"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:c1f348ff3b77bdf9|RC1|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:bw11,"{""tcgdex"": ""bw11""}",RC1,113,"{""tcgdex"": ""bw11-RC1""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""bw11-RC1"", ""providerSetId"": ""bw11"", ""serieId"": ""bw"", ""serieName"": ""Black & White"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:c1f348ff3b77bdf9|RC10|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:bw11,"{""tcgdex"": ""bw11""}",RC10,113,"{""tcgdex"": ""bw11-RC10""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""bw11-RC10"", ""providerSetId"": ""bw11"", ""serieId"": ""bw"", ""serieName"": ""Black & White"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:c1f348ff3b77bdf9|RC11|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:bw11,"{""tcgdex"": ""bw11""}",RC11,113,"{""tcgdex"": ""bw11-RC11""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""bw11-RC11"", ""providerSetId"": ""bw11"", ""serieId"": ""bw"", ""serieName"": ""Black & White"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:c1f348ff3b77bdf9|RC12|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:bw11,"{""tcgdex"": ""bw11""}",RC12,113,"{""tcgdex"": ""bw11-RC12""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""bw11-RC12"", ""providerSetId"": ""bw11"", ""serieId"": ""bw"", ""serieName"": ""Black & White"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:c1f348ff3b77bdf9|RC13|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:bw11,"{""tcgdex"": ""bw11""}",RC13,113,"{""tcgdex"": ""bw11-RC13""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""bw11-RC13"", ""providerSetId"": ""bw11"", ""serieId"": ""bw"", ""serieName"": ""Black & White"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:c1f348ff3b77bdf9|RC14|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:bw11,"{""tcgdex"": ""bw11""}",RC14,113,"{""tcgdex"": ""bw11-RC14""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""bw11-RC14"", ""providerSetId"": ""bw11"", ""serieId"": ""bw"", ""serieName"": ""Black & White"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:c1f348ff3b77bdf9|RC15|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:bw11,"{""tcgdex"": ""bw11""}",RC15,113,"{""tcgdex"": ""bw11-RC15""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""bw11-RC15"", ""providerSetId"": ""bw11"", ""serieId"": ""bw"", ""serieName"": ""Black & White"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:c1f348ff3b77bdf9|RC16|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:bw11,"{""tcgdex"": ""bw11""}",RC16,113,"{""tcgdex"": ""bw11-RC16""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""bw11-RC16"", ""providerSetId"": ""bw11"", ""serieId"": ""bw"", ""serieName"": ""Black & White"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:c1f348ff3b77bdf9|RC17|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:bw11,"{""tcgdex"": ""bw11""}",RC17,113,"{""tcgdex"": ""bw11-RC17""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""bw11-RC17"", ""providerSetId"": ""bw11"", ""serieId"": ""bw"", ""serieName"": ""Black & White"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
